code_food,name_food,short_name_food
01,Food and Non-Alcoholic Beverages,All food and drink
0111,Cereals and cereal products,Cereals
0112,"Live animals, meat and other parts of slaughtered land animals",Meat
0114,"Milk, other dairy products and eggs",Dairy products
0115,Oils and fats,Oils and fats
0116,Fruits and nuts,Fruit and nuts
0117,"Vegetables, tubers, plantains, cooking bananas and pulses",Vegetables
0124,Water,Water
0118,"Sugar, confectionery and desserts",Sugar
0122,Coffee and coffee substitutes,Coffee
0126,Soft drinks,Soft drinks
0119,Ready-made food and other food products,Other food products
