code_good_service,name_good_service,short_name_good_service,date_month,cpi_index,pct_change
0999,All items of consumer price index,All items,2022-12-01,103.67247660939668,
0999,All items of consumer price index,All items,2023-01-01,102.88041321571103,-0.7640054714520659
0999,All items of consumer price index,All items,2023-02-01,103.85710884245312,0.949350412011114
0999,All items of consumer price index,All items,2023-03-01,105.67464991972673,1.7500401248707504
0999,All items of consumer price index,All items,2023-04-01,105.97172663652198,0.28112391857546015
0999,All items of consumer price index,All items,2023-05-01,105.7164549299255,-0.24088661636328368
0999,All items of consumer price index,All items,2023-06-01,105.14351522532544,-0.5419588700546427
0999,All items of consumer price index,All items,2023-07-01,105.31237803079657,0.16060220652622093
0999,All items of consumer price index,All items,2023-08-01,105.93255651766712,0.5888942007265143
0999,All items of consumer price index,All items,2023-09-01,107.42432597230723,1.4082256708222758
0999,All items of consumer price index,All items,2023-10-01,120.30896481085779,11.994153765388376
0999,All items of consumer price index,All items,2023-11-01,142.38215588576824,18.34708752553273
0999,All items of consumer price index,All items,2023-12-01,159.77193959793226,12.21345722993243
0999,All items of consumer price index,All items,2024-01-01,178.00850033197014,11.414119888592694
0999,All items of consumer price index,All items,2024-02-01,226.52387479166921,
0999,All items of consumer price index,All items,2024-03-01,283.82776216070505,25.297063023373312
0999,All items of consumer price index,All items,2024-04-01,268.44360300320756,-5.4202446724668505
0999,All items of consumer price index,All items,2024-05-01,365.68811681400274,36.225304951533246
0999,All items of consumer price index,All items,2024-06-01,372.6837165420455,1.912996186201184
0999,All items of consumer price index,All items,2024-07-01,361.91860403874426,-2.888538464515051
0999,All items of consumer price index,All items,2024-08-01,369.02611196798364,1.9638415516430712
0999,All items of consumer price index,All items,2024-09-01,411.00492159327854,11.375566189998224
0999,All items of consumer price index,All items,2024-10-01,492.5530424394671,19.841154341914873
0999,All items of consumer price index,All items,2024-11-01,633.4728215908848,28.610071811450865
0999,All items of consumer price index,All items,2024-12-01,668.5135517903774,5.531528584208601
0999,All items of consumer price index,All items,2025-01-01,312.36530010826243,-53.27464951582472
0999,All items of consumer price index,All items,2025-02-01,208.3681534089459,-33.293437735648695
0999,All items of consumer price index,All items,2025-03-01,292.92798184765013,40.58193493357217
0999,All items of consumer price index,All items,2025-04-01,514.3537496156665,75.59051421833044
0999,All items of consumer price index,All items,2025-05-01,736.5869671027945,43.20629871040782
0999,All items of consumer price index,All items,2025-06-01,777.4262875391338,5.5443989997504275
0999,All items of consumer price index,All items,2025-07-01,824.6973292459601,6.080453216530415
0999,All items of consumer price index,All items,2025-08-01,656.9571147917211,-20.339609273090247
0999,All items of consumer price index,All items,2025-09-01,568.3676978155942,-13.484809735900797
0999,All items of consumer price index,All items,2025-10-01,338.6205256838715,-40.422278221424136
0999,All items of consumer price index,All items,2025-11-01,221.12784299251365,-34.697448553678754
0999,All items of consumer price index,All items,2025-12-01,195.6005684795294,-11.544124958451519
0999,All items of consumer price index,All items,2026-01-01,198.3859697820285,1.4240251570591056
01,Food and Non-Alcoholic Beverages,Food and drink,2022-12-01,105.67426616301573,
01,Food and Non-Alcoholic Beverages,Food and drink,2023-01-01,103.22457704689867,-2.3181510551850977
01,Food and Non-Alcoholic Beverages,Food and drink,2023-02-01,105.0582324898007,1.7763748666840513
01,Food and Non-Alcoholic Beverages,Food and drink,2023-03-01,106.84370183305528,1.6995044566620976
01,Food and Non-Alcoholic Beverages,Food and drink,2023-04-01,107.41524967863336,0.5349382656837633
01,Food and Non-Alcoholic Beverages,Food and drink,2023-05-01,106.26064308545713,-1.0749000692458424
01,Food and Non-Alcoholic Beverages,Food and drink,2023-06-01,105.10959201573431,-1.0832336755172207
01,Food and Non-Alcoholic Beverages,Food and drink,2023-07-01,104.76919377633992,-0.3238507855148356
01,Food and Non-Alcoholic Beverages,Food and drink,2023-08-01,106.48386814314068,1.6366207517652924
01,Food and Non-Alcoholic Beverages,Food and drink,2023-09-01,109.82206641454074,3.13493332803489
01,Food and Non-Alcoholic Beverages,Food and drink,2023-10-01,120.59332464075457,9.807918005800403
01,Food and Non-Alcoholic Beverages,Food and drink,2023-11-01,133.29048013905415,10.528904096577634
01,Food and Non-Alcoholic Beverages,Food and drink,2023-12-01,192.74052508874192,44.60186870635249
01,Food and Non-Alcoholic Beverages,Food and drink,2024-01-01,224.6936611520446,16.578317428880496
01,Food and Non-Alcoholic Beverages,Food and drink,2024-02-01,288.2442572213286,
01,Food and Non-Alcoholic Beverages,Food and drink,2024-03-01,322.7632373915773,11.975600313085593
01,Food and Non-Alcoholic Beverages,Food and drink,2024-04-01,255.99823535189506,-20.685441929274845
01,Food and Non-Alcoholic Beverages,Food and drink,2024-05-01,263.50570793532836,2.9326266929588627
01,Food and Non-Alcoholic Beverages,Food and drink,2024-06-01,243.82807395671577,-7.467631017481423
01,Food and Non-Alcoholic Beverages,Food and drink,2024-07-01,233.5093690467285,-4.231959323854994
01,Food and Non-Alcoholic Beverages,Food and drink,2024-08-01,255.8227670468281,9.55567568495907
01,Food and Non-Alcoholic Beverages,Food and drink,2024-09-01,452.8458969120399,77.01547916927461
01,Food and Non-Alcoholic Beverages,Food and drink,2024-10-01,660.5391104797737,45.863993686151446
01,Food and Non-Alcoholic Beverages,Food and drink,2024-11-01,710.9803776059106,7.636378577114016
01,Food and Non-Alcoholic Beverages,Food and drink,2024-12-01,638.1247539650341,-10.24720596174592
01,Food and Non-Alcoholic Beverages,Food and drink,2025-01-01,359.0245836425828,-43.73755579739578
01,Food and Non-Alcoholic Beverages,Food and drink,2025-02-01,213.25509121996885,-40.60153512154221
01,Food and Non-Alcoholic Beverages,Food and drink,2025-03-01,304.9009775705056,42.97477064967495
01,Food and Non-Alcoholic Beverages,Food and drink,2025-04-01,489.02731415258484,60.38889676550866
01,Food and Non-Alcoholic Beverages,Food and drink,2025-05-01,726.3791964128726,48.53550617547509
01,Food and Non-Alcoholic Beverages,Food and drink,2025-06-01,1388.375713113966,91.13649178972574
01,Food and Non-Alcoholic Beverages,Food and drink,2025-07-01,1468.4679146612573,5.76876999437377
01,Food and Non-Alcoholic Beverages,Food and drink,2025-08-01,975.4180683598613,-33.57579974194613
01,Food and Non-Alcoholic Beverages,Food and drink,2025-09-01,823.8750272981221,-15.536214263136898
01,Food and Non-Alcoholic Beverages,Food and drink,2025-10-01,573.8898465955292,-30.3426093059785
01,Food and Non-Alcoholic Beverages,Food and drink,2025-11-01,256.90116956666236,-55.235108080292754
01,Food and Non-Alcoholic Beverages,Food and drink,2025-12-01,202.7777565368043,-21.067795495502324
01,Food and Non-Alcoholic Beverages,Food and drink,2026-01-01,190.63862203305007,-5.986423122079941
02,"Alcholoic Beverages, Tobacco and Narcotics",Alcoholic beverages and tobacco,2022-12-01,111.01849919114345,
02,"Alcholoic Beverages, Tobacco and Narcotics",Alcoholic beverages and tobacco,2023-01-01,111.15617598980997,0.12401248410813537
02,"Alcholoic Beverages, Tobacco and Narcotics",Alcoholic beverages and tobacco,2023-02-01,112.14422169153289,0.8888806158764453
02,"Alcholoic Beverages, Tobacco and Narcotics",Alcoholic beverages and tobacco,2023-03-01,111.60671008957225,-0.4793038766091229
02,"Alcholoic Beverages, Tobacco and Narcotics",Alcoholic beverages and tobacco,2023-04-01,111.73567067457817,0.11554913221833374
02,"Alcholoic Beverages, Tobacco and Narcotics",Alcoholic beverages and tobacco,2023-05-01,111.74539020888498,0.008698685252554128
02,"Alcholoic Beverages, Tobacco and Narcotics",Alcoholic beverages and tobacco,2023-06-01,112.5058628704325,0.6805405217396014
02,"Alcholoic Beverages, Tobacco and Narcotics",Alcoholic beverages and tobacco,2023-07-01,114.68433223860946,1.936316306187365
02,"Alcholoic Beverages, Tobacco and Narcotics",Alcoholic beverages and tobacco,2023-08-01,113.55926030731102,-0.9810162463671475
02,"Alcholoic Beverages, Tobacco and Narcotics",Alcoholic beverages and tobacco,2023-09-01,113.92347518918517,0.3207267121047863
02,"Alcholoic Beverages, Tobacco and Narcotics",Alcoholic beverages and tobacco,2023-10-01,114.39923178397348,0.4176106759368423
02,"Alcholoic Beverages, Tobacco and Narcotics",Alcoholic beverages and tobacco,2023-11-01,258.42078795250404,125.89381407778558
02,"Alcholoic Beverages, Tobacco and Narcotics",Alcoholic beverages and tobacco,2023-12-01,212.4815016541513,-17.77693143896616
02,"Alcholoic Beverages, Tobacco and Narcotics",Alcoholic beverages and tobacco,2024-01-01,272.3930637562208,28.196130785815626
02,"Alcholoic Beverages, Tobacco and Narcotics",Alcoholic beverages and tobacco,2024-02-01,893.0337298388797,
02,"Alcholoic Beverages, Tobacco and Narcotics",Alcoholic beverages and tobacco,2024-03-01,1896.62319535696,112.37979395236809
02,"Alcholoic Beverages, Tobacco and Narcotics",Alcoholic beverages and tobacco,2024-04-01,2124.7281669178437,12.026899814327791
02,"Alcholoic Beverages, Tobacco and Narcotics",Alcoholic beverages and tobacco,2024-05-01,4165.828534029372,96.06407063696875
02,"Alcholoic Beverages, Tobacco and Narcotics",Alcoholic beverages and tobacco,2024-06-01,4327.799655202125,3.8880890043759564
02,"Alcholoic Beverages, Tobacco and Narcotics",Alcoholic beverages and tobacco,2024-07-01,4435.32961571417,2.484633510767793
02,"Alcholoic Beverages, Tobacco and Narcotics",Alcoholic beverages and tobacco,2024-08-01,4412.992541133048,-0.503617014212054
02,"Alcholoic Beverages, Tobacco and Narcotics",Alcoholic beverages and tobacco,2024-09-01,3859.846337056654,-12.534492159698317
02,"Alcholoic Beverages, Tobacco and Narcotics",Alcoholic beverages and tobacco,2024-10-01,3859.846337056654,0.0
02,"Alcholoic Beverages, Tobacco and Narcotics",Alcoholic beverages and tobacco,2024-11-01,6926.142364681222,79.44088338922808
02,"Alcholoic Beverages, Tobacco and Narcotics",Alcoholic beverages and tobacco,2024-12-01,8549.875458704284,23.44354199681247
02,"Alcholoic Beverages, Tobacco and Narcotics",Alcoholic beverages and tobacco,2025-01-01,1980.1063218841014,-76.84052438602208
02,"Alcholoic Beverages, Tobacco and Narcotics",Alcoholic beverages and tobacco,2025-02-01,877.4658433917715,-55.68592283686821
02,"Alcholoic Beverages, Tobacco and Narcotics",Alcoholic beverages and tobacco,2025-03-01,1559.9676441472004,77.78101061088313
02,"Alcholoic Beverages, Tobacco and Narcotics",Alcoholic beverages and tobacco,2025-04-01,3794.786176948455,143.26056961412044
02,"Alcholoic Beverages, Tobacco and Narcotics",Alcoholic beverages and tobacco,2025-05-01,7442.756288949913,96.13111100069787
02,"Alcholoic Beverages, Tobacco and Narcotics",Alcoholic beverages and tobacco,2025-06-01,2534.24784438199,-65.9501433878128
02,"Alcholoic Beverages, Tobacco and Narcotics",Alcoholic beverages and tobacco,2025-07-01,2863.0527004168584,12.974455389743127
02,"Alcholoic Beverages, Tobacco and Narcotics",Alcoholic beverages and tobacco,2025-08-01,2439.1966463964,-14.804339925658567
02,"Alcholoic Beverages, Tobacco and Narcotics",Alcoholic beverages and tobacco,2025-09-01,855.2562840328374,-64.93696868203025
02,"Alcholoic Beverages, Tobacco and Narcotics",Alcoholic beverages and tobacco,2025-10-01,428.32330766982335,-49.91871843956215
02,"Alcholoic Beverages, Tobacco and Narcotics",Alcoholic beverages and tobacco,2025-11-01,475.6876009734835,11.058070493836226
02,"Alcholoic Beverages, Tobacco and Narcotics",Alcoholic beverages and tobacco,2025-12-01,609.0559543917086,28.036962314193175
02,"Alcholoic Beverages, Tobacco and Narcotics",Alcoholic beverages and tobacco,2026-01-01,767.6828311887601,26.04471324075294
03,Clothing and Footwear,Clothing,2022-12-01,97.12722939085009,
03,Clothing and Footwear,Clothing,2023-01-01,97.82247721719531,0.715811447217817
03,Clothing and Footwear,Clothing,2023-02-01,98.07363314761811,0.2567466471587636
03,Clothing and Footwear,Clothing,2023-03-01,97.03996596782757,-1.0539705184926618
03,Clothing and Footwear,Clothing,2023-04-01,97.7451828265919,0.7267282626604867
03,Clothing and Footwear,Clothing,2023-05-01,97.76852096131802,0.023876506290363864
03,Clothing and Footwear,Clothing,2023-06-01,98.01213822010085,0.24917760480309425
03,Clothing and Footwear,Clothing,2023-07-01,99.93442337507312,1.9612725422391009
03,Clothing and Footwear,Clothing,2023-08-01,99.43141562872285,-0.5033378183035069
03,Clothing and Footwear,Clothing,2023-09-01,98.88375266844226,-0.5507946928217962
03,Clothing and Footwear,Clothing,2023-10-01,99.06573158884585,0.1840331859307156
03,Clothing and Footwear,Clothing,2023-11-01,101.2840631081843,2.239252144773161
03,Clothing and Footwear,Clothing,2023-12-01,102.12987808249382,0.8350918677167272
03,Clothing and Footwear,Clothing,2024-01-01,103.22995297219569,1.0771332643845
03,Clothing and Footwear,Clothing,2024-02-01,104.91073484906023,
03,Clothing and Footwear,Clothing,2024-03-01,106.52525284278914,1.538944509398192
03,Clothing and Footwear,Clothing,2024-04-01,108.2411713661905,1.6108091533316724
03,Clothing and Footwear,Clothing,2024-05-01,109.76561888708248,1.4083804726527092
03,Clothing and Footwear,Clothing,2024-06-01,111.25791966085978,1.3595338767346163
03,Clothing and Footwear,Clothing,2024-07-01,112.87512822645925,1.453567144279802
03,Clothing and Footwear,Clothing,2024-08-01,114.46969688128569,1.4126838036695517
03,Clothing and Footwear,Clothing,2024-09-01,116.04491095128998,1.3760970046403855
03,Clothing and Footwear,Clothing,2024-10-01,117.60337711651994,1.3429853601112427
03,Clothing and Footwear,Clothing,2024-11-01,208.91637219587608,77.64487493321249
03,Clothing and Footwear,Clothing,2024-12-01,185.52428771844484,-11.19686515305716
03,Clothing and Footwear,Clothing,2025-01-01,180.22496192269102,-2.856405412425673
03,Clothing and Footwear,Clothing,2025-02-01,171.03870676958906,-5.097104782323385
03,Clothing and Footwear,Clothing,2025-03-01,170.84262162254691,-0.11464372640884335
